UI_20150317_000001	{@st41b}可向每个职业的大师{nl}学习属性.{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}					
UI_20150317_000002	{@st43}属性列表{/}	{@st43}특성 목록{/}					
UI_20150317_000003	{@st59}关闭属性列表.{/}	{@st59}특성리스트를 닫습니다{/}					
UI_20150317_000004	{@st43}学习属性{/}	{@st43}특성 배우기{/}					
UI_20150317_000005	{@st59}关闭特性界面{/}	{@st59}특성창을 닫습니다{/}					
UI_20150317_000006	{@st41b}银币{/}	{@st41b}소지금{/}					
UI_20150317_000007	我的成就	나의 업적					
UI_20150317_000008	服务器排名	서버 랭킹					
UI_20150317_000009	{@st59}有意外事件发生{/}	{@st59}돌발이벤트가 있습니다{/}					
UI_20150317_000010	{@st59}有新提示信息喔!{/}	{@st59}도움말이 있습니다{/}					
UI_20150317_000011	{@st41}您确定要制作这种类型的箭矢吗?{/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}					
UI_20150317_000012	{@st41b}一次{/}	{@st41b}한번만{/}					
UI_20150317_000013	{@st41b}全部{/}	{@st41b}모두{/}					
UI_20150317_000014	{@st41b}暂停{/}	{@st41b}중단{/}					
UI_20150317_000015	{@st43}冒险日记{/}	{@st43}모험일지{/}					
UI_20150317_000016	{@st43}拍卖行{/}	{@st43}경매장{/}					
UI_20150317_000017	{@st59}关闭{/}	{@st59}경매장을 닫습니다{/}					
UI_20150317_000018	{@st41b}已售物品:×%s,未售物品:×%s{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}					
UI_20150317_000019	{@st43}{s22}物品竞拍{/}	{@st43}{s22}아이템 경매{/}					
UI_20150317_000020	{@st59}关闭{/}	{@st59}퀘스트 정보를 닫습니다{/}					
UI_20150317_000021	可用技能	아베일레스트					
UI_20150317_000022	{@st41b}剩余时间	{@st41b}남은 시간					
UI_20150317_000023	3小时16分钟	3시간 16분					
UI_20150317_000024	{@st41b}起拍价格	{@st41b}시작가					
